2021 Am Law 200 Rank (FY:2020),2020 Am Law 200 Rank (FY:2019),Firm Name,Gross Revenue,Revenue per Lawyer,2021 Rank By  RPL (FY:2020),Net  Operating Income,Profits Per Equity Partner,"Rank by PPP (FY:2020)
",Profitability Index,Rank By API (FY:2020),"Compensation Average, All Partners",Rank By CAP (FY:2020),Compensation of Non-Equity Partners,Rank By  VPL (FY:2020),CAP divided by number of Lawyers (VPL) (FY:2020),Lawyers Needed to Generate $10 Million (FY:2020),Number of Lawyers,Number of Equity Partners,Number of Non-Equity Partners,Total Partners,Leverage,Profit Margin,Profits Per Lawyer,Rank by PPL,Source,Notes
1,1,Kirkland & Ellis,4830000000,1772000,5,2948300000,6194000,3,3.5,4,2923000,21,437000000,3,1242000,8.05,2725,476,682,1158,4.72,61,1082000,3,"The American Lawyer, May 18, 2021",
2,2,Latham & Watkins,4333763000,1516000,18,2367517000,4520000,11,2.98,7,3330000,17,367466000,11,957000,10.45,2858,524,297,821,4.46,55,828000,15,"The American Lawyer, May 18, 2021",
3,3,DLA Piper,3133829000,784000,117,916170000,2122000,52,2.71,19,1050000,74,467634000,133,346000,28.9,3998,432,886,1317,8.26,29,229000,151,"The American Lawyer, May 18, 2021","Vereins differ structurally from other Am Law 200 firms, especially in regard to profit sharing."
4,4,Baker McKenzie,2899834000,617000,162,905886000,1350000,87,2.19,40,884000,96,436303000,161,286000,34.97,4699,671,847,1518,6,31,193000,175,"The American Lawyer, May 18, 2021","Vereins differ structurally from other Am Law 200 firms, especially in regard to profit sharing."
5,5,"Skadden, Arps, Slate, Meagher & Flom",2662890000,1671000,9,1378046000,4308000,14,2.58,22,4308000,9,0,14,865000,11.56,1594,320,0,320,3.98,52,865000,12,"The American Lawyer, May 18, 2021",
6,6,Sidley Austin,2462935000,1309000,30,974223000,3095000,28,2.36,31,1967000,35,300415000,33,677000,14.77,1882,315,333,648,4.98,40,518000,38,"The American Lawyer, May 18, 2021",
7,7,"Morgan, Lewis & Bockius",2446000000,1214000,40,1247460000,1716000,69,1.41,107,1633000,46,39040000,36,639000,15.65,2014,727,61,788,1.77,51,619000,28,"The American Lawyer, May 18, 2021",
8,9,White & Case,2387800000,1058000,63,1031846000,3017000,31,2.85,14,2056000,32,174909000,54,535000,18.69,2257,342,245,587,5.6,43,457000,49,"The American Lawyer, May 18, 2021",
9,8,Hogan Lovells,2308401000,884000,88,812226000,1971000,56,2.23,37,1337000,59,247930000,100,406000,24.63,2612,412,381,793,5.34,35,311000,99,"The American Lawyer, May 18, 2021",
10,10,Jones Day,2226424000,894000,84,1090948000,1294000,95,1.45,104,1294000,61,0,92,438000,22.83,2490,843,0,843,1.95,49,438000,58,"The American Lawyer, May 18, 2021",
11,13,Ropes & Gray,2192810000,1690000,8,893262000,3374000,22,2,50,3374000,14,0,30,689000,14.51,1297,265,0,265,3.9,41,689000,23,"The American Lawyer, May 18, 2021",
12,11,"Gibson, Dunn & Crutcher",2160542000,1517000,17,1363560000,4125000,15,2.72,18,3473000,13,67570000,9,1005000,9.95,1424,331,81,412,3.31,63,958000,8,"The American Lawyer, May 18, 2021",
13,12,Norton Rose Fulbright,1877933000,591000,169,619700000,957000,128,1.62,85,760000,112,206330000,179,260000,38.46,3178,648,439,1087,3.91,33,195000,173,"The American Lawyer, May 18, 2021","Vereins differ structurally from other Am Law 200 firms, especially in regard to profit sharing."
14,15,Simpson Thacher & Bartlett,1844627000,1767000,6,1013282000,5232000,5,2.96,8,4958000,5,23779000,10,994000,10.06,1044,194,16,209,4.39,55,971000,7,"The American Lawyer, May 18, 2021",
15,19,Davis Polk & Wardwell,1770000000,1806000,4,991870000,6350000,2,3.52,3,6350000,2,0,8,1012000,9.88,980,156,0,156,5.27,56,1012000,6,"The American Lawyer, May 18, 2021",
16,14,Greenberg Traurig,1730230000,797000,113,598738000,1913000,58,2.4,29,911000,89,391150000,82,456000,21.93,2171,313,774,1087,5.94,35,276000,126,"The American Lawyer, May 18, 2021",
17,16,"Weil, Gotshal & Manges",1657603000,1465000,19,795913000,4515000,12,3.08,6,3484000,12,108059000,19,799000,12.52,1132,176,83,260,5.42,48,703000,22,"The American Lawyer, May 18, 2021",
18,18,Sullivan & Cromwell,1555441000,1925000,3,871047000,5185000,6,2.69,21,5185000,4,0,6,1078000,9.28,808,168,0,168,3.81,56,1078000,4,"The American Lawyer, May 18, 2021",
