2022 Am Law 100 Rank (FY:2021),2021 Am Law 100 Rank (FY:2020),Firm Name,Location,Gross Revenue,"Net 
Operating
Income",Revenue per Lawyer (RPL),2022 Rank By RPL (FY:2021),2021 Rank By RPL (FY:2020),Profits Per Lawyer (PPL),2022 Rank By PPL (FY:2021),2021 Rank By PPL (FY:2020),Profits Per Equity Partner (PPP),2022 Rank By PPP (FY:2021),2021 Rank By PPP (FY:2020),Profitability Index (API),2022 Rank By API (FY:2021),Profit Margin,"Compensation Average, 
All Partners (CAP)",2022 Rank By CAP (FY:2021),"Compensation 
Non-Equity Partners",Value per Lawyer (VPL) ,2022 Rank By VPL (FY:2021),Lawyers Needed per $10 Million,Cost Per Lawyer (CPL),2022 Rank by CPL (FY:2021),2021 Rank by CPL (FY:2020),Total Personnel,Total Number of Lawyers,Total  Number of Partners,Total Number of Equity Partners,Number of Non-Equity Partners,Leverage,Percentage of Lawyers in US,Total Number of Offices,Source,Notes
1,1,Kirkland & Ellis,National,6042000000,3620100000,1997000,4,4,1197000,4,2,7388000,2,3,3.7,1,60,3353000,20,581814000,1389000,2,7.2,800628,24,32,5311,3025,1253,490,763,5.17,0.8288,18,"The American Lawyer, April 26, 2022",
2,2,Latham & Watkins,National,5488778000,3137479000,1784000,12,15,1019000,10,13,5705000,9,11,3.2,6,57,4133000,13,494871000,1180000,6,8.47,764021,31,33,5761,3078,879,550,329,4.6,0.6647,31,"The American Lawyer, April 26, 2022",
3,3,DLA Piper,Verein,3471437000,1040440000,862000,79,80,258000,82,83,2496000,43,43,2.9,17,30,1212000,59,539655000,392000,82,25.51,603525,68,65,8689,4028,1304,417,887,8.66,0.3468,73,"The American Lawyer, April 26, 2022","Vereins differ structurally from other Am Law 200 firms, especially in regard to profit sharing."
4,4,Baker McKenzie,Verein,3126729000,1239161000,652000,96,92,258000,82,93,1833000,58,67,2.81,20,40,1075000,63,357601000,333000,86,30.03,393653,97,91,12085,4795,1485,676,809,6.09,0.1426,78,"The American Lawyer, April 26, 2022","Vereins differ structurally from other Am Law 200 firms, especially in regard to profit sharing."
5,5,"Skadden, Arps, Slate, Meagher & Flom",National,3022380000,1632085000,1838000,9,7,993000,13,10,5088000,12,14,2.77,22,54,5088000,8,0,993000,14,10.07,845678,13,7,3340,1644,321,321,0,4.12,0.7549,22,"The American Lawyer, April 26, 2022",
6,8,White & Case,International,2869800000,1273808000,1165000,50,50,517000,41,39,3509000,30,28,3.01,12,44,2346000,33,234775000,612000,44,16.34,647724,57,53,NA,2464,643,363,280,5.79,NA,45,"The American Lawyer, April 26, 2022",
7,6,Sidley Austin,National,2795426000,1227308000,1477000,24,25,648000,30,34,3718000,26,25,2.52,29,44,2386000,32,309100000,812000,26,12.32,828574,16,12,3693,1893,644,330,314,4.73,0.7967,20,"The American Lawyer, April 26, 2022",
8,11,Ropes & Gray,National,2674046000,1160178000,1950000,5,6,846000,17,20,4333000,20,21,2.22,39,43,4333000,12,0,846000,23,11.82,1103764,2,2,2681,1372,268,268,0,4.12,0.8636,11,"The American Lawyer, April 26, 2022",
9,9,Hogan Lovells,International,2605973000,970632000,1029000,58,65,383000,57,63,2482000,44,47,2.41,33,37,1647000,44,305794000,504000,62,19.84,645869,58,62,6284,2532,775,391,384,5.48,0.3235,47,"The American Lawyer, April 26, 2022",
10,7,"Morgan, Lewis & Bockius",National,2577700000,1366000000,1294000,41,34,686000,27,25,1831000,59,58,1.41,80,53,1784000,40,22080000,697000,37,14.35,608283,67,55,4049,1992,778,746,32,1.67,0.8479,31,"The American Lawyer, April 26, 2022",
11,12,"Gibson, Dunn & Crutcher",National,2480394000,1557600000,1613000,18,14,1013000,11,7,4440000,17,15,2.75,23,63,3741000,16,70307000,1059000,10,9.44,600094,69,64,2436,1538,435,351,84,3.38,0.8209,20,"The American Lawyer, April 26, 2022",
12,10,Jones Day,National,2446000000,1223000000,1017000,61,62,508000,42,43,1446000,72,72,1.42,78,50,1446000,48,0,508000,61,19.69,508270,84,87,4366,2406,846,846,0,1.85,0.6434,42,"The American Lawyer, April 26, 2022",
13,14,Simpson Thacher & Bartlett,New York,2224191000,1213702000,1913000,7,5,1044000,8,6,5980000,6,5,3.13,7,55,5460000,6,31425000,1071000,9,9.34,869118,10,9,1953,1163,228,203,25,4.73,0.7926,11,"The American Lawyer, April 26, 2022",
14,13,Norton Rose Fulbright,Verein,2100000000,693000000,681000,92,95,225000,91,91,1054000,88,87,1.55,72,33,839000,81,207160000,292000,92,34.25,456270,89,94,6660,3084,1074,657,416,3.69,0.2323,52,"The American Lawyer, April 26, 2022","Vereins differ structurally from other Am Law 200 firms, especially in regard to profit sharing."
15,16,Greenberg Traurig,National,2003790000,717060000,907000,71,79,325000,71,76,2276000,48,49,2.51,30,36,1057000,64,446750000,527000,58,18.98,582494,72,74,4209,2209,1101,315,786,6.01,0.8072,40,"The American Lawyer, April 26, 2022",
16,19,Cooley,"Palo Alto, California",1986777000,969123000,1568000,21,18,765000,23,21,4064000,23,24,2.59,28,49,2995000,23,79738000,828000,25,12.08,803035,22,16,2658,1267,350,238,112,4.31,0.8963,17,"The American Lawyer, April 26, 2022",
17,23,Goodwin Procter,National,1973368000,954292000,1501000,23,31,726000,25,26,3690000,27,31,2.46,32,48,2550000,30,192223000,872000,21,11.47,775092,29,44,2713,1315,450,259,191,4.08,0.8216,13,"The American Lawyer, April 26, 2022",
18,15,Davis Polk & Wardwell,New York,1970000000,1130012000,1923000,6,3,1103000,7,5,7010000,3,2,3.65,2,57,7010000,2,0,1103000,8,9.07,819844,18,10,1910,1025,161,161,0,5.36,0.8071,10,"The American Lawyer, April 26, 2022",
19,17,"Weil, Gotshal & Manges",New York,1856219000,940890000,1573000,20,16,797000,20,19,5181000,11,12,3.29,5,51,4010000,15,113291000,893000,19,11.2,775637,28,18,2191,1180,263,182,81,5.5,0.7277,15,"The American Lawyer, April 26, 2022",
20,20,"Paul, Weiss, Rifkind, Wharton & Garrison",New York,1850437000,1032067000,1836000,10,13,1024000,9,12,6162000,5,4,3.36,4,56,6162000,4,0,1024000,12,9.77,811956,20,36,1837,1008,168,168,0,5.02,0.9323,9,"The American Lawyer, April 26, 2022",
21,22,Mayer Brown,International,1840000000,695000000,1053000,55,61,398000,55,59,2465000,45,44,2.34,35,38,1414000,50,262000000,547000,54,18.28,655034,54,60,3656,1748,677,282,395,5.2,0.5664,1,"The American Lawyer, April 26, 2022",
22,21,King & Spalding,National,1828123000,896637000,1450000,26,30,711000,26,28,4374000,19,20,3.02,11,49,2221000,35,215000000,881000,20,11.35,738589,39,37,2144,1261,501,205,296,5.15,0.8588,22,"The American Lawyer, April 26, 2022",
23,18,Sullivan & Cromwell,New York,1765426000,1050428000,2215000,2,2,1318000,2,3,6366000,4,6,2.87,18,59,6366000,3,0,1318000,3,7.59,897112,7,5,NA,797,165,165,0,3.83,NA,NA,"The American Lawyer, April 26, 2022",
24,24,McDermott Will & Emery,National,1665221000,660104000,1415000,29,33,561000,39,38,3051000,36,37,2.16,44,40,1633000,45,331302000,843000,24,11.86,854306,12,15,2505,1177,607,216,391,4.44,0.7288,21,"The American Lawyer, April 26, 2022",
25,28,Quinn Emanuel Urquhart & Sullivan,National,1655306000,993984000,1839000,8,11,1104000,6,9,5746000,8,7,3.12,8,60,4129000,14,162141000,1285000,5,7.78,734802,41,29,NA,900,280,173,107,4.2,NA,1,"The American Lawyer, April 26, 2022",
26,27,Paul Hastings,National,1572304000,832497000,1606000,19,22,850000,16,17,4703000,15,16,2.93,15,53,3646000,18,162846000,1017000,13,9.83,755676,33,42,1833,979,273,177,96,4.53,0.7623,21,"The American Lawyer, April 26, 2022",
27,25,Covington & Burling,"Washington, D.C.",1501130000,740669000,1234000,44,42,609000,34,35,2300000,47,51,1.86,61,49,2300000,34,0,609000,45,16.42,625122,61,52,2173,1217,322,322,0,2.78,0.8257,13,"The American Lawyer, April 26, 2022",
28,26,Reed Smith,National,1436171000,475737000,913000,70,76,303000,76,78,1735000,63,64,1.9,57,33,1048000,65,220290000,443000,69,22.57,610730,65,68,3203,1573,664,274,390,4.74,0.6225,30,"The American Lawyer, April 26, 2022",
29,32,Cleary Gottlieb Steen & Hamilton,International,1418818000,774845000,1350000,39,43,737000,24,30,4700000,16,17,3.48,3,55,4700000,11,0,737000,31,13.57,612864,63,67,NA,1051,165,165,0,5.37,0.5133,17,"The American Lawyer, April 26, 2022",
30,,Holland & Knight,National,1402502000,467525000,1007000,62,60,336000,67,60,2005000,56,56,1.99,49,33,1102000,62,328163000,571000,50,17.51,671129,47,59,2952,1393,722,233,489,4.97,0.956,32,"The American Lawyer, April 26, 2022",
31,30,Milbank,New York,1359000000,820870000,1660000,15,12,1003000,12,8,5033000,13,13,3.03,10,60,4743000,10,38099000,1049000,11,9.53,657202,53,48,1372,819,181,163,182,4.02,0.6685,12,"The American Lawyer, April 26, 2022",
32,37,Dechert,National,1341486000,597733000,1446000,27,44,644000,31,40,4236000,22,33,2.93,15,45,2485000,31,153624000,810000,27,12.35,801631,23,39,1816,928,302,141,161,5.58,0.666,23,"The American Lawyer, April 26, 2022",
33,36,Wilson Sonsini Goodrich & Rosati,"Palo Alto, California",1336000000,547104000,1388000,33,27,568000,38,32,3318000,32,26,2.39,34,41,2686000,28,119055000,692000,38,14.45,819607,19,23,1851,963,248,165,83,4.84,0.9273,16,"The American Lawyer, April 26, 2022",
34,31,Debevoise & Plimpton,New York,1329262000,716099000,1687000,14,9,909000,14,11,5011000,14,10,2.97,13,54,5011000,9,0,909000,17,11,778096,26,21,1555,788,143,143,0,4.51,0.7577,11,"The American Lawyer, April 26, 2022",
35,35,"Orrick, Herrington & Sutcliffe",National,1316335000,340498000,1371000,36,38,355000,62,70,3073000,35,36,2.24,38,26,1760000,41,233866000,598000,46,16.72,1016391,3,4,2647,960,326,111,216,7.67,0.6806,24,"The American Lawyer, April 26, 2022",
36,29,Wilmer Cutler Pickering Hale and Dorr,National,1297089000,683718000,1503000,22,19,792000,21,18,2808000,39,35,1.87,60,53,2808000,25,0,792000,28,12.63,710627,42,31,1787,863,244,244,0,2.54,0.8971,13,"The American Lawyer, April 26, 2022",
37,34,Morrison & Foerster,National,1234500000,475400000,1239000,42,39,477000,44,47,2463000,46,42,1.99,49,39,1899000,39,90500000,568000,51,17.61,762149,32,25,2060,996,298,193,105,4.16,0.6948,17,"The American Lawyer, April 26, 2022",
38,33,Akin,National,1220204000,505389000,1414000,30,24,586000,35,29,3093000,33,27,2.19,42,41,2107000,38,152057000,762000,29,13.12,828387,17,17,1682,863,312,163,149,4.28,0.782,20,"The American Lawyer, April 26, 2022",
39,44,Willkie Farr & Gallagher,New York,1220000000,687000000,1401000,31,26,789000,22,16,3903000,24,19,2.79,21,56,3091000,22,51725000,848000,22,11.79,611940,64,66,1460,871,239,176,63,3.95,0.783,13,"The American Lawyer, April 26, 2022",
40,40,K&L Gates,National,1179282000,256124000,694000,90,89,151000,97,98,1381000,76,78,1.99,49,22,666000,93,278833000,315000,89,31.75,543578,81,77,3403,1698,803,186,618,8.16,0.6244,46,"The American Lawyer, April 26, 2022",
41,43,Proskauer Rose,New York,1168371000,572130000,1639000,16,23,802000,19,23,3510000,29,30,2.14,46,49,2712000,27,78672000,913000,16,10.95,836243,15,28,1364,713,240,163,77,3.37,0.8289,12,"The American Lawyer, April 26, 2022",
42,42,Perkins Coie,Seattle,1155565000,307585000,1028000,59,58,274000,78,81,1660000,66,65,1.61,69,27,1039000,66,227750000,476000,67,21.01,754679,35,38,2456,1124,515,185,330,5.06,0.9976,20,"The American Lawyer, April 26, 2022",
43,45,Winston & Strawn,National,1153207000,389112000,1364000,37,36,460000,48,45,3021000,37,40,2.21,40,34,1707000,42,203187000,700000,36,14.29,903485,6,19,1628,846,347,129,218,5.57,0.9132,15,"The American Lawyer, April 26, 2022",
44,39,Squire Patton Boggs,Verein,1137000000,201775000,791000,87,85,140000,98,97,1518000,70,75,1.92,56,18,754000,88,138792000,237000,99,42.19,650456,55,61,2411,1438,452,133,319,9.82,0.4158,45,"The American Lawyer, April 26, 2022","Vereins differ structurally from other Am Law 200 firms, especially in regard to profit sharing."
